Fecha,Perspectiva,KPI,Valor,Meta
2024-01-01,Clientes,Disponibilidad HIS,98.61,99.0
2024-01-01,Clientes,Satisfaccion Usuario,60.96,85.0
2024-01-01,Procesos,Interoperabilidad,21.98,80.0
2024-01-01,Aprendizaje,Capacitaciones Mes,8.0,12.0
2024-01-01,Financiera,Ejecucion Presupuestal %,8.29,95.0
2024-02-01,Clientes,Disponibilidad HIS,98.04,99.0
2024-02-01,Clientes,Satisfaccion Usuario,58.08,85.0
2024-02-01,Procesos,Interoperabilidad,22.21,80.0
2024-02-01,Aprendizaje,Capacitaciones Mes,17.0,12.0
2024-02-01,Financiera,Ejecucion Presupuestal %,17.43,95.0
2024-03-01,Clientes,Disponibilidad HIS,97.86,99.0
2024-03-01,Clientes,Satisfaccion Usuario,60.35,85.0
2024-03-01,Procesos,Interoperabilidad,21.37,80.0
2024-03-01,Aprendizaje,Capacitaciones Mes,25.0,12.0
2024-03-01,Financiera,Ejecucion Presupuestal %,22.62,95.0
2024-04-01,Clientes,Disponibilidad HIS,97.83,99.0
2024-04-01,Clientes,Satisfaccion Usuario,61.07,85.0
2024-04-01,Procesos,Interoperabilidad,23.48,80.0
2024-04-01,Aprendizaje,Capacitaciones Mes,16.0,12.0
2024-04-01,Financiera,Ejecucion Presupuestal %,31.48,95.0
2024-05-01,Clientes,Disponibilidad HIS,97.93,99.0
2024-05-01,Clientes,Satisfaccion Usuario,59.83,85.0
2024-05-01,Procesos,Interoperabilidad,23.53,80.0
2024-05-01,Aprendizaje,Capacitaciones Mes,15.0,12.0
2024-05-01,Financiera,Ejecucion Presupuestal %,37.47,95.0
2024-06-01,Clientes,Disponibilidad HIS,98.19,99.0
2024-06-01,Clientes,Satisfaccion Usuario,63.9,85.0
2024-06-01,Procesos,Interoperabilidad,26.26,80.0
2024-06-01,Aprendizaje,Capacitaciones Mes,11.0,12.0
2024-06-01,Financiera,Ejecucion Presupuestal %,48.5,95.0
2024-07-01,Clientes,Disponibilidad HIS,98.35,99.0
2024-07-01,Clientes,Satisfaccion Usuario,62.34,85.0
2024-07-01,Procesos,Interoperabilidad,27.71,80.0
2024-07-01,Aprendizaje,Capacitaciones Mes,16.0,12.0
2024-07-01,Financiera,Ejecucion Presupuestal %,56.47,95.0
2024-08-01,Clientes,Disponibilidad HIS,98.48,99.0
2024-08-01,Clientes,Satisfaccion Usuario,64.09,85.0
2024-08-01,Procesos,Interoperabilidad,24.32,80.0
2024-08-01,Aprendizaje,Capacitaciones Mes,12.0,12.0
2024-08-01,Financiera,Ejecucion Presupuestal %,63.35,95.0
2024-09-01,Clientes,Disponibilidad HIS,97.93,99.0
2024-09-01,Clientes,Satisfaccion Usuario,67.78,85.0
2024-09-01,Procesos,Interoperabilidad,27.93,80.0
